"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
664285,"Valdez, Framber","L",739,117,"40.5",1.6449501176241736,5.829932341001353,-0.012122858321979305,4.416138051298942
664299,"Javier, Cristian","R",530,117,"31.8",-2.0846184210936687,5.488905660377359,-0.07951951759048388,4.24464965203886
664350,"Sánchez, Sixto","R",462,146,"29.5",-2.249930596333263,5.6159307359307356,-0.22032072057473126,4.467359090909091
664353,"Urquidy, José","R",428,117,"52.5",-1.3018198756040316,6.268598130841122,0.03300861365993934,4.526102506076879
666120,"Anderson, Ian","R",379,144,"65.8",-0.42979165214755594,6.100263852242744,0.48668833120091404,4.063463858951172
666200,"Luzardo, Jesús","L",842,133,"29.2",2.1047152162912726,5.687268408551069,0.03498880277580693,4.528781054937172
668676,"Plesac, Zach","R",685,114,"48.6",-1.496871989484897,6.064277372262774,0.024217204216457653,4.340244757543695
668678,"Gallen, Zac","R",559,109,"43.4",-1.3738399358627693,5.85871198568873,0.13783827798569417,4.428357375010136
669160,"May, Dustin","R",678,119,"27.0",-2.2489333492211907,5.3952654867256635,-0.19913307823954202,4.3501751866038045
669203,"Burnes, Corbin","R",656,158,"38.8",-1.7271248944115813,5.90670731707317,0.040009529951531626,4.483771322052137
669211,"Akin, Keegan","L",366,110,"41.5",1.7765509616329234,5.744207650273224,0.13260924572387325,4.28794965116449
669373,"Skubal, Tarik","L",472,116,"49.3",1.8650253702091277,6.384936440677966,0.26423784970845043,4.526292577759147
669456,"Bieber, Shane","R",1004,114,"43.8",-1.3388339704350982,5.657978087649402,0.230015398537788,4.152913532119612
670950,"Richards, Trevor","R",488,139,"54.0",-0.9718524059861589,6.242786885245901,0.41901694710158655,4.32838339256362
675916,"Karinchak, James","R",390,114,"67.8",-0.34905316118879565,6.738025641025641,0.5365336763848896,4.566153318421774
676596,"Fleming, Josh","L",393,139,"36.4",1.6915330343544783,5.6841730279898215,-0.12582180720541744,4.343126918488886
676606,"Margevicius, Nick","L",519,136,"51.2",1.2877504757546734,6.072215799614644,-0.06881944615742601,4.385482655274143
677976,"Dobnak, Randy","R",742,142,"17.0",-2.566333168560545,5.208342318059299,-0.325097610354176,4.522332860952057
